opcode,name,stack_effect,flags
184,LOAD_ATTR_MODULE,0,DYNAMIC_STACK|ARG|ESCAPES
185,LOAD_ATTR_NONDESCRIPTOR_NO_DICT,0,ARG|ESCAPES
186,LOAD_ATTR_NONDESCRIPTOR_WITH_VALUES,0,ARG|ESCAPES
187,LOAD_ATTR_PROPERTY,-1,ARG
188,LOAD_ATTR_SLOT,0,DYNAMIC_STACK|ARG
189,LOAD_ATTR_WITH_HINT,0,DYNAMIC_STACK|ARG|NAME|ESCAPES
190,LOAD_CONST_IMMORTAL,1,ARG|CONST
191,LOAD_CONST_MORTAL,1,ARG|CONST
192,LOAD_GLOBAL_BUILTIN,0,DYNAMIC_STACK|ARG
193,LOAD_GLOBAL_MODULE,0,DYNAMIC_STACK|ARG
194,LOAD_SUPER_ATTR_ATTR,-2,ARG|NAME|ESCAPES
195,LOAD_SUPER_ATTR_METHOD,-1,ARG|NAME|ESCAPES
196,RESUME_CHECK,0,
197,SEND_GEN,-1,ARG
198,STORE_ATTR_INSTANCE_VALUE,-2,ESCAPES
199,STORE_ATTR_SLOT,-2,ESCAPES
200,STORE_ATTR_WITH_HINT,-2,ARG|NAME|ESCAPES
201,STORE_SUBSCR_DICT,-3,ESCAPES
202,STORE_SUBSCR_LIST_INT,-3,ESCAPES
203,TO_BOOL_ALWAYS_TRUE,0,ESCAPES
204,TO_BOOL_BOOL,0,
205,TO_BOOL_INT,0,ESCAPES
206,TO_BOOL_LIST,0,
207,TO_BOOL_NONE,0,
208,TO_BOOL_STR,0,ESCAPES
209,UNPACK_SEQUENCE_LIST,0,DYNAMIC_STACK|ARG
210,UNPACK_SEQUENCE_TUPLE,0,DYNAMIC_STACK|ARG
211,UNPACK_SEQUENCE_TWO_TUPLE,1,ARG|ESCAPES
234,INSTRUMENTED_END_FOR,-1,ESCAPES
235,INSTRUMENTED_POP_ITER,-1,ESCAPES
236,INSTRUMENTED_END_SEND,-1,ESCAPES
237,INSTRUMENTED_FOR_ITER,1,ARG|JUMP|ESCAPES
238,INSTRUMENTED_INSTRUCTION,0,ESCAPES
239,INSTRUMENTED_JUMP_FORWARD,0,ARG
240,INSTRUMENTED_NOT_TAKEN,0,
241,INSTRUMENTED_POP_JUMP_IF_TRUE,-1,ARG
242,INSTRUMENTED_POP_JUMP_IF_FALSE,-1,ARG
243,INSTRUMENTED_POP_JUMP_IF_NONE,-1,ARG|ESCAPES
244,INSTRUMENTED_POP_JUMP_IF_NOT_NONE,-1,ARG|ESCAPES
245,INSTRUMENTED_RESUME,0,ARG|ESCAPES
246,INSTRUMENTED_RETURN_VALUE,0,ESCAPES
247,INSTRUMENTED_YIELD_VALUE,0,ARG|ESCAPES
248,INSTRUMENTED_END_ASYNC_FOR,-2,ARG|JUMP|ESCAPES
249,INSTRUMENTED_LOAD_SUPER_ATTR,0,DYNAMIC_STACK|ARG|NAME|ESCAPES
250,INSTRUMENTED_CALL,0,DYNAMIC_STACK|ARG|ESCAPES
251,INSTRUMENTED_CALL_KW,0,DYNAMIC_STACK|ARG|ESCAPES
252,INSTRUMENTED_CALL_FUNCTION_EX,-3,ESCAPES
253,INSTRUMENTED_JUMP_BACKWARD,0,ARG|ESCAPES
254,INSTRUMENTED_LINE,0,ESCAPES
255,ENTER_EXECUTOR,0,ARG
256,ANNOTATIONS_PLACEHOLDER,0,
257,JUMP,0,ARG|JUMP|ESCAPES
258,JUMP_IF_FALSE,0,ARG|JUMP|ESCAPES
259,JUMP_IF_TRUE,0,ARG|JUMP|ESCAPES
260,JUMP_NO_INTERRUPT,0,ARG|JUMP
261,LOAD_CLOSURE,1,ARG|LOCAL
262,POP_BLOCK,0,
263,SETUP_CLEANUP,2,
264,SETUP_FINALLY,1,
265,SETUP_WITH,1,
266,STORE_FAST_MAYBE_NULL,-1,ARG|LOCAL|ESCAPES
